chain,R_0,D_lat,D_inf,α,D_imm,ρ,logα,η,accepted,logprior,loglikelihood,logjoint
1,6.419070429383893,1.7706946956399536,1.6057938807769965,0.4697716138502834,10.322965435220876,0.7309440709663121,-2.505173055436103,0.0015157165665103986,false,-8.199460985419577,-117.27483922146315,-125.47430020688273
1,6.197225038942798,1.1736483130449673,1.9319574193283389,0.42239464748639133,8.325023167479848,0.6881213394648029,-3.6880067706980384,0.0015157165665103986,false,-8.27754148857571,-118.71503123155023,-126.99257272012593
1,6.2519210237075855,1.0146227957422602,2.5648541258953883,0.3719707959668929,11.342335995978505,0.5909757498538322,0.0,0.0015157165665103986,true,-8.115344285841397,-118.54365808573897,-126.65900237158037
1,3.358617333421392,1.1200601105818149,1.4614133581076447,0.48875668142123285,11.760622384536813,0.6978209865758451,-14.720404180649354,0.0015157165665103986,false,-7.03828052004305,-125.80348981475025,-132.8417703347933
1,5.2629992633671145,0.6943759590386812,2.213323703417176,0.4024662247864051,11.368126624822203,0.6874089356564266,-4.892754422817291,0.0015157165665103986,false,-7.941911859510041,-118.13969650434943,-126.08160836385947
1,6.701828686688502,0.5456934725999215,3.5597740935725417,0.5431031382948073,11.275746069261556,0.6873563632270839,-1.388583134148476,0.0015157165665103986,false,-9.153666899335393,-117.03091075612744,-126.18457765546283
1,6.107350566485407,0.7415586771148277,3.233559496362636,0.4714811317835995,11.775943455052722,0.7312512753158493,-0.5267664464572306,0.0015157165665103986,false,-8.417466913930763,-116.62917436394697,-125.04664127787774
1,5.412243850607639,0.9514249157536679,2.0037329722182493,0.5613893682333911,10.998219062086058,0.6883637924666264,-2.5283623323903726,0.0015157165665103986,false,-7.765455179442705,-118.92992894331147,-126.69538412275418
1,5.613751943234848,0.9705026632449836,2.6098277932111125,0.3947545041747582,13.506017130881878,0.670416435423197,-13.713250709739853,0.0015157165665103986,false,-7.69883308802388,-116.71853310859407,-124.41736619661795
1,6.561249123919803,1.2439853362992213,3.1036713287734465,0.39793688951359213,12.548132394813921,0.694940860999801,-15.723379897732428,0.0015157165665103986,false,-8.225880937087757,-117.72148989745762,-125.94737083454537
1,7.125310278641551,1.84682937565233,1.8380416751381292,0.509622054663589,13.718977136146915,0.72243791003191,-3.1606024767412606,0.0015157165665103986,false,-8.65283159478658,-116.65359793249287,-125.30642952727945
1,5.846674976338883,1.3713418634385142,1.8828961330856264,0.5106210200785495,12.795774453758128,0.694996896700658,0.0,0.0015157165665103986,true,-7.672215607265372,-116.55942743403071,-124.23164304129608
1,8.265812191352829,1.762313388729914,3.117912390194274,0.4889492706426298,12.564155885319062,0.6687643657952239,-5.52010824150328,0.0015157165665103986,false,-9.763136223916552,-119.02321068734508,-128.78634691126163
1,5.011565483374741,1.1409639507299572,1.724120698351904,0.40293546929200247,13.84747126495511,0.6497795139429887,-1.8040048861120255,0.0015157165665103986,false,-7.3332747036297485,-118.10878163383605,-125.4420563374658
1,5.84452486447157,1.227922712650662,1.7893649115843238,0.37062573450273395,9.37312854699259,0.5468261410471172,-11.899651760160111,0.0015157165665103986,false,-7.84503065109951,-122.537805870807,-130.3828365219065
1,7.416800992507006,1.2482648402320136,3.1707104253107508,0.5484063531780664,11.776772168388318,0.7171715620948454,-6.913626654087892,0.0015157165665103986,false,-9.111079420280744,-116.32309120071174,-125.43417062099249
1,4.874596238604438,1.1484077917595783,2.280993863335158,0.47222480695820895,10.351245192761729,0.5927021368233459,-1.2685327636136918,0.0015157165665103986,false,-7.128558336654746,-121.5501690311784,-128.67872736783315
1,7.625886110637111,1.5127017866283525,3.140743091822862,0.5207093299749859,11.616086928159698,0.7227016531931287,-2.660508626549287,0.0015157165665103986,false,-9.192099581890828,-115.97812573392135,-125.17022531581217
1,6.6136362224308565,1.7305168099777775,1.7666045919335698,0.4330308271569309,12.269400757444002,0.670523474142099,-4.082328806963517,0.0015157165665103986,false,-8.153743951917502,-115.88889614151829,-124.04264009343579
1,6.05124802118114,1.3964450970471818,1.40044198585661,0.38601618972435403,12.710249564450015,0.6414366180529724,-2.791371049520535,0.0015157165665103986,false,-7.944654195381316,-117.04999725050091,-124.99465144588223
1,9.144451053790483,1.500164949981368,2.648692761299209,0.587246454585572,10.005083639500054,0.6662152836279522,-6.6676756759974865,0.0015157165665103986,false,-11.248347376070813,-117.11756706782516,-128.36591444389597
1,6.791519943547472,1.5346969957762087,1.726231894409706,0.4769110122154891,14.460227754484343,0.7155973700601468,-3.4515310785434536,0.0015157165665103986,false,-8.433259958872643,-116.45424685548953,-124.88750681436217
1,8.386777742266911,1.024047755067773,3.547491244507177,0.5838120710230357,12.174451849901406,0.7255569866701779,-8.923496969405619,0.0015157165665103986,false,-10.552777140123082,-116.50840435296132,-127.0611814930844
1,5.561311667501801,0.8810431696423441,2.3027077858713643,0.44695222242937355,12.631188758399281,0.7640927887278578,-0.7834402306741453,0.0015157165665103986,true,-7.989257675162516,-118.34825384638846,-126.33751152155098
1,6.522091347701897,0.7716113910060891,3.6380249343838282,0.358154914026849,14.130672832315787,0.7210063862000469,-3.2069506837860757,0.0015157165665103986,false,-8.777000168413757,-120.08813910847645,-128.8651392768902
1,6.578683819587838,0.5841593967572319,4.28221471893241,0.4655302153429179,10.067690099227692,0.6576467196500242,-1.03693012762686,0.0015157165665103986,false,-9.155735291098273,-117.8578223963348,-127.01355768743306
1,5.1955590082137375,0.5571621807249151,2.8016359615321544,0.48328138134300885,11.33758240972361,0.7542749455764963,-6.054568182975359,0.0015157165665103986,false,-8.131744034645976,-116.31033166374951,-124.44207569839548
1,4.624973078094996,0.5259635859422431,2.2348525937099826,0.3988881370782575,9.539328960954458,0.6052982956072351,0.0,0.0015157165665103986,true,-7.841797368912743,-119.32985932826946,-127.1716566971822
1,5.812350003643502,0.5698610722478051,3.242123039709846,0.41410264698212407,10.80644681388834,0.6131373728926602,-3.9387139358599654,0.0015157165665103986,false,-8.30502926703235,-117.27196755332163,-125.57699682035398
1,5.413698621672921,0.5637625280609034,2.8557385186313575,0.4521160177307622,9.585793933611637,0.6741270744462496,0.0,0.0015157165665103986,true,-8.163249010228572,-117.51658383779623,-125.6798328480248
1,5.2646844928801135,0.6365624374272282,2.981205646824361,0.3780629293017675,9.511823407758564,0.6241950152423252,0.0,0.0015157165665103986,true,-7.9621685665624575,-119.47102389830472,-127.43319246486718
1,5.701510097849212,1.5491055928764148,1.5647033098646554,0.3908187477413382,10.886457686535033,0.5961081558800777,-12.883211937992925,0.0015157165665103986,false,-7.558485520290181,-118.21641095270661,-125.77489647299679
1,6.0241567904347475,1.5024433360742224,1.6249560836074353,0.4078804238830475,12.811250722129147,0.6704980199123537,0.0,0.0015157165665103986,true,-7.801358723560867,-116.51676795805653,-124.3181266816174
1,6.2515654568153645,1.5522516407335085,2.10972059311627,0.527213093044821,11.456722598013934,0.7779310347399897,-1.5784577165155014,0.0015157165665103986,false,-8.072173631405658,-117.56039510856544,-125.6325687399711
1,6.261281512851954,1.3587625989148893,1.6517989954967023,0.3753008487915079,8.743843159728339,0.6374054501380264,-1.1664196277685477,0.0015157165665103986,true,-8.216677510850698,-121.14785884896708,-129.36453635981778
1,9.820595744838865,1.9306213257595195,2.4959856576681596,0.5731334965449852,12.78152266608319,0.7646533845574288,-0.09785296134927535,0.0015157165665103986,true,-12.34013878359615,-115.5420409691401,-127.88217975273625
1,6.902041258493258,1.0151733822892979,2.52103606797678,0.49252598077890275,10.413387687923477,0.7046063716523341,-1.2673863818575626,0.0015157165665103986,true,-8.821478811028243,-116.10957031558458,-124.93104912661282
1,8.179409113920784,1.4897744984196801,2.430832618642796,0.5498273091643183,11.461640755876825,0.6734979567965369,-1.0510773494286525,0.0015157165665103986,false,-9.840763363993817,-116.04909503923378,-125.88985840322759
1,7.258095911295778,1.677715631282875,1.9043815319212587,0.524980649314453,10.399404342056213,0.6270927862510205,-2.636568369621912,0.0015157165665103986,false,-8.759466293555894,-117.55795298392884,-126.31741927748473
1,6.967302475902322,1.4980894115323014,1.5586146406664432,0.49296954487787203,9.702016366085424,0.6706305973220464,-5.496722015613841,0.0015157165665103986,false,-8.733394803514791,-116.83583230278276,-125.56922710629755
1,6.558555510028451,1.8131119696644586,2.7397279539889485,0.4494925203456042,13.769524868446034,0.7120389586249153,-6.313005415602973,0.0015157165665103986,false,-7.940874986452739,-121.57691796220826,-129.517792948661
1,6.0690810160924045,1.727546196911488,1.3026514069290447,0.4588702717863368,11.242707376059773,0.6806044477383684,0.0,0.0015157165665103986,true,-7.907771202429003,-117.14044164247954,-125.04821284490855
1,4.557953249702779,0.7380956657569754,2.4973703756989236,0.4432325941107452,10.901241995319491,0.6882711217364444,-1.1953319195729932,0.0015157165665103986,true,-7.496999609864762,-117.87565259469956,-125.37265220456432
1,6.92742434780988,1.0364611153479677,3.366764254907094,0.48911356278261364,13.043488103626048,0.7145101077641796,-2.5822147392363632,0.0015157165665103986,false,-8.748071041673896,-115.69536437649032,-124.44343541816421
1,5.931440112149269,0.9635356303050745,2.707983756667719,0.5273793605650496,13.136709754894746,0.7163549038856425,-10.840778189091722,0.0015157165665103986,false,-7.965578883133565,-116.9495185030553,-124.91509738618886
1,4.414581842762601,0.9396677220959169,2.1965154696695883,0.4298712079993367,11.282598678366442,0.728218675278404,0.0,0.0015157165665103986,true,-7.331505473851893,-119.51312981924147,-126.84463529309336
1,5.481634365382559,1.3332636434167384,1.1904894606783407,0.4854319504246117,10.221429625785538,0.6580819074129108,-3.641628038254183,0.0015157165665103986,false,-7.73765580639879,-117.15705173639333,-124.89470754279212
1,5.051773558603867,0.9963632814390606,1.6516930435930262,0.46197384145416237,10.80393500456576,0.6452047141794112,-2.6955327549564885,0.0015157165665103986,false,-7.554993668668999,-118.03600768605368,-125.59100135472268
1,5.414131993950376,1.3096962221297925,1.7083153509589188,0.35321962847125177,10.589503210839766,0.6427534122284927,-2.080211059240483,0.0015157165665103986,false,-7.56367443442603,-119.17153052745674,-126.73520496188277
1,5.534728002400689,1.6465769352713282,1.3106325359741162,0.3409091918922105,14.564507876037796,0.662544062038241,-0.02433559413060493,0.0015157165665103986,true,-7.557630079684718,-119.79014893264917,-127.34777901233389
1,6.240618807931172,1.2881754803265584,1.9311345211307922,0.5226968918411583,13.057242379271822,0.7636543100207562,0.0,0.0015157165665103986,true,-8.17154115672283,-117.72852459667175,-125.90006575339457
