chain,R_0,D_inf,ρ
1,6.0237587752928325,0.5926469765926385,0.6659977722183656
1,6.0237587752928325,0.5926469765926385,0.6659977722183656
1,5.904306658151426,0.6082202607874723,0.6890646161354009
1,5.799792671683389,0.6540017632074365,0.6515035247531786
1,5.799792671683389,0.6540017632074365,0.6515035247531786
1,5.799792671683389,0.6540017632074365,0.6515035247531786
1,5.799792671683389,0.6540017632074365,0.6515035247531786
1,5.716683903223726,0.6074375735170627,0.6846884769123063
1,5.716683903223726,0.6074375735170627,0.6846884769123063
1,6.2541165673749095,0.7855421500826796,0.704794420785957
1,6.215839301783484,0.7659626672496578,0.7337775568626828
1,6.606360558165661,1.0739664869873096,0.7004654012885085
1,8.425440802398285,1.1392663797491411,0.806456585227791
1,7.730214719890477,1.2417171416804798,0.7766985979524502
1,7.730214719890477,1.2417171416804798,0.7766985979524502
1,8.141683932726579,1.6091165049541345,0.6715946212561262
1,6.33573113925628,0.8101767680070124,0.6593805420030583
1,5.868197874533084,1.0156502034357722,0.7553362029033335
1,6.836542221003453,2.713633038491166,0.7608794126108059
1,8.376790730206585,1.8074167437821647,0.7333543480675146
1,8.293011980972821,1.4036391221804678,0.6677530895535339
1,7.843557420618986,1.0940794650525363,0.6873658387209836
1,6.637481650218495,0.952500565997126,0.7873548524310575
1,6.637481650218495,0.952500565997126,0.7873548524310575
1,8.41665193320948,1.1927882394166367,0.7437779848768556
1,7.6091034609424995,2.152032493216803,0.7447855932341833
1,8.568403168656825,1.4675410790240404,0.7413325769308172
1,8.790216769338656,2.313562736520248,0.7099321936124346
1,8.790216769338656,2.313562736520248,0.7099321936124346
1,8.790216769338656,2.313562736520248,0.7099321936124346
1,8.210141981498936,1.6058969232765457,0.6881386811325269
1,7.785184369481314,1.9427418156007952,0.6890319717206328
1,7.785184369481314,1.9427418156007952,0.6890319717206328
1,7.785184369481314,1.9427418156007952,0.6890319717206328
1,7.785184369481314,1.9427418156007952,0.6890319717206328
1,7.785184369481314,1.9427418156007952,0.6890319717206328
1,5.983231378576883,1.5273184256019923,0.6941587418345722
1,7.712508386979714,2.5887236977038213,0.6718345067635144
1,6.76825183567667,2.1012430363040884,0.6546126910804665
1,7.423869069596408,2.300194544661781,0.7077093931167594
1,7.423869069596408,2.300194544661781,0.7077093931167594
1,6.153357296371338,1.223662538788755,0.7106200097138927
1,6.358865666374278,1.198617885996792,0.6759600947964358
1,6.358865666374278,1.198617885996792,0.6759600947964358
1,7.237902922811091,0.9204022690434781,0.6990369051319274
1,7.40347279228101,2.0655952208906356,0.669224273447684
1,7.79124928821331,2.296203838153473,0.733172419112528
1,7.79124928821331,2.296203838153473,0.733172419112528
1,7.79124928821331,2.296203838153473,0.733172419112528
1,6.833860803083759,1.0180763044069536,0.6705181816706349
1,6.418643938911128,1.0138833570169954,0.6785067067113517
1,5.711477239002973,0.9634563070588091,0.6721673529677512
1,7.887685379216378,1.0371634365950184,0.6984446764386719
1,7.425658675610316,1.220608436301421,0.6598589423752891
1,6.508667591790666,1.6837795390676842,0.7328320478506937
1,6.412745570311813,1.2501557982987,0.6693760946485041
1,7.139854060935869,0.8809046273645519,0.6823274880120979
1,5.998183287411117,1.2175544073317042,0.6832737498316656
1,6.104466856281117,0.951550010924848,0.7535924883414706
1,6.629458852377552,1.0240614004165942,0.7539136690562899
1,8.305852082089537,0.9656167276080437,0.7299769849365294
1,6.9478425965431665,0.9166901930754823,0.7021434858040079
1,5.907700759865684,0.8729397381166915,0.7666505604610208
1,5.744405144105639,0.8083423652666961,0.6379359566177167
1,5.780404518613737,0.7493684925749697,0.5767965530697232
1,4.869472015004369,0.8311865751099243,0.6997911726567634
1,6.747548663931226,1.065173326870789,0.6990216505746936
1,6.747548663931226,1.065173326870789,0.6990216505746936
1,7.129542691815637,1.3632789130204905,0.7126804743042979
1,7.129542691815637,1.3632789130204905,0.7126804743042979
1,7.45418928834235,1.9368331363129347,0.771703175915883
1,8.198163611366532,2.085776366517252,0.6474882762428696
1,5.525325342455754,0.7311483296365119,0.7824726022363243
1,5.963470845495823,0.568073662196504,0.6455761428674196
1,5.963470845495823,0.568073662196504,0.6455761428674196
1,5.608305152749876,0.5594615752167977,0.6893596756675885
1,6.137492876432992,0.608309870740075,0.7754818614310577
1,6.6590764161538525,0.5533481864852299,0.7347658116829465
1,6.6590764161538525,0.5533481864852299,0.7347658116829465
1,6.164576670113338,0.5984580264609962,0.7693335348804864
1,7.070948508598759,0.6737720433877685,0.7124727211966344
1,7.070948508598759,0.6737720433877685,0.7124727211966344
1,6.083089341442034,0.7115587587046082,0.6810683589961669
1,6.654882263815129,0.7217547038604166,0.728814251350627
1,6.943906811728438,0.8666570006412107,0.6885267339292428
1,5.479121975589239,0.6630333271358213,0.7199918642032725
1,5.307065543986248,0.6192932818715815,0.6588531073711755
1,5.309931656414488,0.6162915502614665,0.7024309916982965
1,5.0838229254997325,0.6667796113741961,0.7141049695536466
1,7.61550111609319,0.9453632678397603,0.6464755010956313
